Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.7752898840463814,0.7924958633953466,0.9122689075630251,0.8480757312042229,0.7444258081100186
Random Forest,0.7899240303878449,0.7915190076030412,0.9431092436974791,0.860524914549903,0.7680795125067571
Logistic Regression,0.8013461282153805,0.7907650072059378,0.9668347338935573,0.869923961764569,0.7167319883418954
Decision Tree,0.7801812608290019,0.780900566883117,0.9455182072829131,0.8553227352266474,0.694185397505831
